combo,event1,event2,horizon,n_signals,win_rate,mean_ret,std_ret,sharpe
E5_BreakoutATH + E9_CrashIntraday,E5_BreakoutATH,E9_CrashIntraday,ret_1d,245,0.2693877551020408,-0.08338724396096557,0.31555272491952885,-0.26425772105828177
E5_BreakoutATH + E9_CrashIntraday,E5_BreakoutATH,E9_CrashIntraday,ret_3d,242,0.21487603305785125,-0.14290574459572217,0.410780946969873,-0.34788795743781903
E5_BreakoutATH + E9_CrashIntraday,E5_BreakoutATH,E9_CrashIntraday,ret_5d,240,0.225,-0.10727880099604009,1.2244943097314573,-0.08761069785580898
E5_BreakoutATH + E9_CrashIntraday,E5_BreakoutATH,E9_CrashIntraday,ret_10d,237,0.20253164556962025,-0.15638437449284265,0.8783486102073256,-0.17804362946043673
E5_BreakoutATH + E2_GapUp,E5_BreakoutATH,E2_GapUp,ret_1d,2583,0.4370886566008517,-0.009527718922287952,0.14072193442708122,-0.06770599737047382
E5_BreakoutATH + E2_GapUp,E5_BreakoutATH,E2_GapUp,ret_3d,2575,0.44970873786407767,-0.007506109968554307,0.28322450405576005,-0.02650233246441323
E5_BreakoutATH + E2_GapUp,E5_BreakoutATH,E2_GapUp,ret_5d,2562,0.45081967213114754,-0.00678356497936186,0.3088887473298837,-0.02196119165233695
E5_BreakoutATH + E2_GapUp,E5_BreakoutATH,E2_GapUp,ret_10d,2542,0.46420141620771044,-0.008780768008821459,0.30738874196874105,-0.028565678601574784
E5_BreakoutATH + E8_GapDownViolent,E5_BreakoutATH,E8_GapDownViolent,ret_1d,82,0.3048780487804878,-0.0527200200080246,0.13401878038998463,-0.3933778523772063
E5_BreakoutATH + E8_GapDownViolent,E5_BreakoutATH,E8_GapDownViolent,ret_3d,81,0.32098765432098764,-0.0453657714889255,0.14812180406470263,-0.30627341987482687
E5_BreakoutATH + E8_GapDownViolent,E5_BreakoutATH,E8_GapDownViolent,ret_5d,80,0.4,0.059384996759440034,1.1209161880504455,0.052978980402384454
E5_BreakoutATH + E8_GapDownViolent,E5_BreakoutATH,E8_GapDownViolent,ret_10d,80,0.35,0.05584892409583998,1.0579430810971233,0.05279010288334485
E5_BreakoutATH + E1_VolExplosion,E5_BreakoutATH,E1_VolExplosion,ret_1d,12338,0.43783433295509805,-0.004458142633483347,0.16235863543269521,-0.027458611127163874
E5_BreakoutATH + E1_VolExplosion,E5_BreakoutATH,E1_VolExplosion,ret_3d,12269,0.4725731518461162,-0.005205810056195053,0.1835443988363258,-0.028362674585549683
E5_BreakoutATH + E1_VolExplosion,E5_BreakoutATH,E1_VolExplosion,ret_5d,12214,0.48608154576715246,-0.004631588214650399,0.22445982902508319,-0.020634374688634476
E5_BreakoutATH + E1_VolExplosion,E5_BreakoutATH,E1_VolExplosion,ret_10d,12112,0.505779392338177,-0.003171313397101653,0.24883247376743312,-0.012744773015702385
E5_BreakoutATH + E11_VolumeBounce,E5_BreakoutATH,E11_VolumeBounce,ret_1d,2628,0.4509132420091324,-0.004887519577300037,0.08792185280928315,-0.055589360564339614
E5_BreakoutATH + E11_VolumeBounce,E5_BreakoutATH,E11_VolumeBounce,ret_3d,2613,0.4714887102946804,-0.005606624263361926,0.12531197113402218,-0.04474133007903607
E5_BreakoutATH + E11_VolumeBounce,E5_BreakoutATH,E11_VolumeBounce,ret_5d,2608,0.4758435582822086,-0.00585022739132419,0.13666298385870612,-0.0428076954427737
E5_BreakoutATH + E11_VolumeBounce,E5_BreakoutATH,E11_VolumeBounce,ret_10d,2591,0.48745658047086066,-0.001562929936012979,0.1988644787628808,-0.00785927152871058
E5_BreakoutATH + E4_Parabolic,E5_BreakoutATH,E4_Parabolic,ret_1d,8260,0.4016949152542373,-0.011726043361081434,0.2275659438338364,-0.051528111647688064
E5_BreakoutATH + E4_Parabolic,E5_BreakoutATH,E4_Parabolic,ret_3d,8224,0.3954280155642023,-0.019429425168572635,0.2952501189877689,-0.06580666329681488
E5_BreakoutATH + E4_Parabolic,E5_BreakoutATH,E4_Parabolic,ret_5d,8193,0.3996094226778958,-0.021413322440071023,0.4104632805267625,-0.05216866759090003
E5_BreakoutATH + E4_Parabolic,E5_BreakoutATH,E4_Parabolic,ret_10d,8131,0.4110195547903087,-0.028471264097285266,0.41154885293418186,-0.06918076406797473
E5_BreakoutATH + E6_MultipleGreenDays,E5_BreakoutATH,E6_MultipleGreenDays,ret_1d,145901,0.4727109478344905,-0.0005278802750518486,0.07655077758400936,-0.006895818588812312
E5_BreakoutATH + E6_MultipleGreenDays,E5_BreakoutATH,E6_MultipleGreenDays,ret_3d,145655,0.47669492979986955,-0.0004298095221905631,0.1239622058236439,-0.003467262617140228
E5_BreakoutATH + E6_MultipleGreenDays,E5_BreakoutATH,E6_MultipleGreenDays,ret_5d,145407,0.47966741628669873,-0.00021874534859274658,0.139742749983634,-0.0015653430937802855
E5_BreakoutATH + E6_MultipleGreenDays,E5_BreakoutATH,E6_MultipleGreenDays,ret_10d,144906,0.49514167805335874,0.0007495922642424548,0.1531247244338511,0.004895305229210544
E5_BreakoutATH + E7_FirstRedDay,E5_BreakoutATH,E7_FirstRedDay,ret_1d,203,0.43349753694581283,-0.012360890131568563,0.10038921771081637,-0.12312965887607218
E5_BreakoutATH + E7_FirstRedDay,E5_BreakoutATH,E7_FirstRedDay,ret_3d,203,0.4088669950738916,-0.015889638076953382,0.15493220747480543,-0.10255865023763573
E5_BreakoutATH + E7_FirstRedDay,E5_BreakoutATH,E7_FirstRedDay,ret_5d,203,0.43842364532019706,0.00020968921947331695,0.19099571533507295,0.0010978739450015886
E5_BreakoutATH + E7_FirstRedDay,E5_BreakoutATH,E7_FirstRedDay,ret_10d,202,0.4306930693069307,-0.010643850968377704,0.2717855849320855,-0.039162676604196714
E5_BreakoutATH + E10_FirstGreenBounce,E5_BreakoutATH,E10_FirstGreenBounce,ret_1d,9250,0.43664864864864866,-0.0028332593606089644,0.050663499384045185,-0.05592308851648741
E5_BreakoutATH + E10_FirstGreenBounce,E5_BreakoutATH,E10_FirstGreenBounce,ret_3d,9224,0.4629228100607112,-0.0032730979943893907,0.07856357273977324,-0.041661776320062474
E5_BreakoutATH + E10_FirstGreenBounce,E5_BreakoutATH,E10_FirstGreenBounce,ret_5d,9197,0.47058823529411764,-0.003655515968522319,0.08785143087346393,-0.04161020409317533
E5_BreakoutATH + E10_FirstGreenBounce,E5_BreakoutATH,E10_FirstGreenBounce,ret_10d,9142,0.4797637278494859,-0.003962079450605325,0.11425848701340523,-0.034676456464371695
E5_BreakoutATH + E3_PriceSpikeIntraday,E5_BreakoutATH,E3_PriceSpikeIntraday,ret_1d,8878,0.38646091462041,-0.01724268458906698,0.23136543021767877,-0.07452576027820709
E5_BreakoutATH + E3_PriceSpikeIntraday,E5_BreakoutATH,E3_PriceSpikeIntraday,ret_3d,8826,0.3929299796057104,-0.021796966444376203,0.2819664312669837,-0.07730340929746157
E5_BreakoutATH + E3_PriceSpikeIntraday,E5_BreakoutATH,E3_PriceSpikeIntraday,ret_5d,8787,0.39763286673494935,-0.022067219323746806,0.3914659766802795,-0.05637072092671206
E5_BreakoutATH + E3_PriceSpikeIntraday,E5_BreakoutATH,E3_PriceSpikeIntraday,ret_10d,8706,0.40029864461291065,-0.027548128441593378,0.4028240957967035,-0.06838748905302904
E9_CrashIntraday + E2_GapUp,E9_CrashIntraday,E2_GapUp,ret_1d,4737,0.4228414608401942,7.816302170769668,203.7510104386355,0.03836202899775918
E9_CrashIntraday + E2_GapUp,E9_CrashIntraday,E2_GapUp,ret_3d,4696,0.43228279386712093,16.373952471175546,312.95111365078344,0.05232111904048677
E9_CrashIntraday + E2_GapUp,E9_CrashIntraday,E2_GapUp,ret_5d,4654,0.43618392780403953,16.474704515132263,301.08625781473967,0.05471755713696258
E9_CrashIntraday + E2_GapUp,E9_CrashIntraday,E2_GapUp,ret_10d,4577,0.42473235743937077,18.77860468559061,330.20961334073604,0.05686874011815453
E9_CrashIntraday + E8_GapDownViolent,E9_CrashIntraday,E8_GapDownViolent,ret_1d,816,0.38848039215686275,615.2109536616246,17503.39051735776,0.035148101909257656
E9_CrashIntraday + E8_GapDownViolent,E9_CrashIntraday,E8_GapDownViolent,ret_3d,796,0.38819095477386933,659.7360055137801,18220.275855604883,0.03620889226607585
E9_CrashIntraday + E8_GapDownViolent,E9_CrashIntraday,E8_GapDownViolent,ret_5d,784,0.38392857142857145,642.1554754864437,17856.9800554258,0.035961034480257836
E9_CrashIntraday + E8_GapDownViolent,E9_CrashIntraday,E8_GapDownViolent,ret_10d,751,0.3914780292942743,271.4944974643244,7297.945549058366,0.03720149672798732
E9_CrashIntraday + E1_VolExplosion,E9_CrashIntraday,E1_VolExplosion,ret_1d,7136,0.38158632286995514,2.4168032386678115,177.71448622125152,0.013599359793657635
E9_CrashIntraday + E1_VolExplosion,E9_CrashIntraday,E1_VolExplosion,ret_3d,7062,0.3792126876239026,3.4915310083754503,189.48879082508043,0.018426055668899845
E9_CrashIntraday + E1_VolExplosion,E9_CrashIntraday,E1_VolExplosion,ret_5d,6996,0.3759291023441967,5.056832815570887,224.898955609316,0.022484910176085397
E9_CrashIntraday + E1_VolExplosion,E9_CrashIntraday,E1_VolExplosion,ret_10d,6819,0.3785012465170846,3.3105839122526675,137.882370854044,0.024010204435468408
E9_CrashIntraday + E11_VolumeBounce,E9_CrashIntraday,E11_VolumeBounce,ret_1d,94,0.48936170212765956,-0.00975660145065568,0.19177182333968118,-0.0508760947293807
E9_CrashIntraday + E11_VolumeBounce,E9_CrashIntraday,E11_VolumeBounce,ret_3d,94,0.3829787234042553,-0.011429734268692407,0.4588231261414901,-0.02491098119837959
E9_CrashIntraday + E11_VolumeBounce,E9_CrashIntraday,E11_VolumeBounce,ret_5d,93,0.34408602150537637,-0.07449802961305768,0.321899698310034,-0.2314324306738112
E9_CrashIntraday + E11_VolumeBounce,E9_CrashIntraday,E11_VolumeBounce,ret_10d,91,0.31868131868131866,-0.03291038594704714,0.44839961229644226,-0.07339521499249134
E9_CrashIntraday + E4_Parabolic,E9_CrashIntraday,E4_Parabolic,ret_1d,2736,0.3366228070175439,0.33158267332967356,7.516360607968584,0.044114790471620154
E9_CrashIntraday + E4_Parabolic,E9_CrashIntraday,E4_Parabolic,ret_3d,2702,0.34381939304219095,0.7419003470281268,13.981552043138885,0.053062803381130834
E9_CrashIntraday + E4_Parabolic,E9_CrashIntraday,E4_Parabolic,ret_5d,2672,0.32110778443113774,0.8448627774217546,14.722158133289124,0.05738715545456522
E9_CrashIntraday + E4_Parabolic,E9_CrashIntraday,E4_Parabolic,ret_10d,2624,0.29839939024390244,1.909990553655087,30.707705000764477,0.06219906546606258
E9_CrashIntraday + E6_MultipleGreenDays,E9_CrashIntraday,E6_MultipleGreenDays,ret_1d,197,0.38578680203045684,-0.06215258610064285,0.3270886766329707,-0.1900175412381666
E9_CrashIntraday + E6_MultipleGreenDays,E9_CrashIntraday,E6_MultipleGreenDays,ret_3d,193,0.3316062176165803,-0.06627210112021899,0.5692826563006327,-0.11641335000590872
E9_CrashIntraday + E6_MultipleGreenDays,E9_CrashIntraday,E6_MultipleGreenDays,ret_5d,190,0.25263157894736843,-0.08190387940355844,0.7323949513472849,-0.11183020753063805
E9_CrashIntraday + E6_MultipleGreenDays,E9_CrashIntraday,E6_MultipleGreenDays,ret_10d,186,0.27956989247311825,3.7086490913530112,46.90326709633208,0.07907016549051941
E9_CrashIntraday + E7_FirstRedDay,E9_CrashIntraday,E7_FirstRedDay,ret_1d,1233,0.38037307380373075,0.012071709678292325,0.52730851253458,0.022893068083175847
E9_CrashIntraday + E7_FirstRedDay,E9_CrashIntraday,E7_FirstRedDay,ret_3d,1221,0.3882063882063882,0.03871671551977947,1.0210894019098682,0.03791706724931516
E9_CrashIntraday + E7_FirstRedDay,E9_CrashIntraday,E7_FirstRedDay,ret_5d,1209,0.3573200992555831,1.1567962374517857,35.311956276554916,0.03275933591421643
E9_CrashIntraday + E7_FirstRedDay,E9_CrashIntraday,E7_FirstRedDay,ret_10d,1188,0.31565656565656564,1.254038949315821,37.14099886781382,0.033764276339981907
E9_CrashIntraday + E10_FirstGreenBounce,E9_CrashIntraday,E10_FirstGreenBounce,ret_1d,174,0.40229885057471265,-0.020305256045428707,0.1976176112053686,-0.10275023527294354
E9_CrashIntraday + E10_FirstGreenBounce,E9_CrashIntraday,E10_FirstGreenBounce,ret_3d,172,0.38372093023255816,-0.05067399777041258,0.2772563505506296,-0.18276947550443587
E9_CrashIntraday + E10_FirstGreenBounce,E9_CrashIntraday,E10_FirstGreenBounce,ret_5d,171,0.4619883040935672,-0.02502665664978143,0.3816010948598695,-0.06558329361966755
E9_CrashIntraday + E10_FirstGreenBounce,E9_CrashIntraday,E10_FirstGreenBounce,ret_10d,167,0.4311377245508982,0.0003362396881566288,0.5201127160133515,0.0006464746540594047
E9_CrashIntraday + E3_PriceSpikeIntraday,E9_CrashIntraday,E3_PriceSpikeIntraday,ret_1d,2736,0.36330409356725146,0.5070551952313992,7.69334095085681,0.06590832233620535
E9_CrashIntraday + E3_PriceSpikeIntraday,E9_CrashIntraday,E3_PriceSpikeIntraday,ret_3d,2684,0.3435171385991058,1.0592939081395623,22.246688129559367,0.04761580249475738
E9_CrashIntraday + E3_PriceSpikeIntraday,E9_CrashIntraday,E3_PriceSpikeIntraday,ret_5d,2650,0.3230188679245283,1.3326975952697817,25.041139814484346,0.05322032483916408
E9_CrashIntraday + E3_PriceSpikeIntraday,E9_CrashIntraday,E3_PriceSpikeIntraday,ret_10d,2586,0.308584686774942,1.4749669382964572,26.162949732909958,0.05637617139328597
E2_GapUp + E1_VolExplosion,E2_GapUp,E1_VolExplosion,ret_1d,7511,0.40527226734123284,0.12353399608320509,3.723225948310489,0.033179290700652175
E2_GapUp + E1_VolExplosion,E2_GapUp,E1_VolExplosion,ret_3d,7488,0.41199252136752135,1.163650605139552,61.92935560259756,0.018789967920976463
E2_GapUp + E1_VolExplosion,E2_GapUp,E1_VolExplosion,ret_5d,7471,0.4078436621603534,1.2602981421237585,62.159208813134406,0.02027532470550774
E2_GapUp + E1_VolExplosion,E2_GapUp,E1_VolExplosion,ret_10d,7419,0.4111066181426068,0.6389716759672992,22.958053950673758,0.027832135830857176
E2_GapUp + E11_VolumeBounce,E2_GapUp,E11_VolumeBounce,ret_1d,1315,0.39543726235741444,-0.0037432284208335502,0.20582288454863168,-0.018186648336225717
E2_GapUp + E11_VolumeBounce,E2_GapUp,E11_VolumeBounce,ret_3d,1310,0.3801526717557252,-0.016195654290586246,0.25218856773506276,-0.06422041425605234
E2_GapUp + E11_VolumeBounce,E2_GapUp,E11_VolumeBounce,ret_5d,1307,0.3840856924254017,0.21223366503662602,8.486005433417013,0.025009843170836512
E2_GapUp + E11_VolumeBounce,E2_GapUp,E11_VolumeBounce,ret_10d,1299,0.3887605850654349,0.37765601368469837,9.996803548549183,0.037777676819457644
E2_GapUp + E4_Parabolic,E2_GapUp,E4_Parabolic,ret_1d,6783,0.34925549167035236,0.12016434231730258,3.4153009203207554,0.035184115578903975
E2_GapUp + E4_Parabolic,E2_GapUp,E4_Parabolic,ret_3d,6729,0.33422499628473773,0.29880437556766776,6.044510069098406,0.04943401072243348
E2_GapUp + E4_Parabolic,E2_GapUp,E4_Parabolic,ret_5d,6676,0.33568004793289397,0.488267759009972,8.009484592933582,0.060961195860311575
E2_GapUp + E4_Parabolic,E2_GapUp,E4_Parabolic,ret_10d,6562,0.33892106065224015,0.9654121961086489,18.830751423717185,0.0512678530126376
E2_GapUp + E6_MultipleGreenDays,E2_GapUp,E6_MultipleGreenDays,ret_1d,1580,0.4,0.0032335617062999433,0.8716554283250152,0.0037096788492599637
E2_GapUp + E6_MultipleGreenDays,E2_GapUp,E6_MultipleGreenDays,ret_3d,1573,0.3820724729815639,-0.027824673737839877,0.2429280837260057,-0.11453872813331388
E2_GapUp + E6_MultipleGreenDays,E2_GapUp,E6_MultipleGreenDays,ret_5d,1572,0.37213740458015265,-0.022850093163839423,0.3894298709713432,-0.05867575876202081
E2_GapUp + E6_MultipleGreenDays,E2_GapUp,E6_MultipleGreenDays,ret_10d,1564,0.40217391304347827,-0.0035387542927609057,0.8203244111127266,-0.004313847356999621
E2_GapUp + E7_FirstRedDay,E2_GapUp,E7_FirstRedDay,ret_1d,536,0.3805970149253731,-0.0052005964367353675,0.2068568013480169,-0.02514104638012776
E2_GapUp + E7_FirstRedDay,E2_GapUp,E7_FirstRedDay,ret_3d,530,0.37169811320754714,0.0057025825655103324,0.38716439424346766,0.014729098673067218
E2_GapUp + E7_FirstRedDay,E2_GapUp,E7_FirstRedDay,ret_5d,524,0.37786259541984735,0.2842219650345931,6.521209806794763,0.04358423873104781
E2_GapUp + E7_FirstRedDay,E2_GapUp,E7_FirstRedDay,ret_10d,518,0.3552123552123552,0.17489732119050322,4.369311148318931,0.040028580078988886
E2_GapUp + E10_FirstGreenBounce,E2_GapUp,E10_FirstGreenBounce,ret_1d,2367,0.41233629066328686,-0.00028717539316719517,0.2098792265574426,-0.0013682887910233322
E2_GapUp + E10_FirstGreenBounce,E2_GapUp,E10_FirstGreenBounce,ret_3d,2359,0.4077999152183128,0.10303056824164881,4.868846932520171,0.021161184500067865
E2_GapUp + E10_FirstGreenBounce,E2_GapUp,E10_FirstGreenBounce,ret_5d,2352,0.41156462585034015,0.11917057737675975,5.60457840022977,0.021263076161424404
E2_GapUp + E10_FirstGreenBounce,E2_GapUp,E10_FirstGreenBounce,ret_10d,2344,0.4112627986348123,0.3449389584444836,9.450959414644712,0.03649777163469607
